Timestamp, Schematic, Workspace, Bitblox #, FGU #, Connection #, Uniqueness clauses, Uniqueness time, Collision clauses, Collision time, Short clauses, Short time, Connection clauses, Connection time, Fixed Bitblox, MemError, SAT time (TO=240), SAT
00:21 02-05, Remote-4, 11-11-2, 13, 144, 12, 6084364, 6.41400003433, 1630656, 10.3359992504, 1958144, 13.1590006351, 195852, 0.871000051498, 0, 0, 146.486000061, 1, 
00:25 02-05, Remote-5, 5-5-2, 16, 168, 15, 318400, 0.325999975204, 408960, 5.51699900627, 554400, 7.8830010891, 34575, 0.477999925613, 0, 0, 22.2100000381, 0, 
00:25 02-05, Remote-5, 5-5-2, 17, 176, 16, 338300, 0.188999891281, 463104, 6.09399938583, 620304, 8.73700070381, 40176, 0.506999969482, 0, 0, 29.8699998856, 0, 
00:26 02-05, Remote-5, 5-5-2, 18, 184, 17, 358200, 0.197000026703, 520608, 6.81499838829, 689280, 9.39900159836, 46353, 0.581000089645, 0, 0, 65.4290001392, 0, 
00:27 02-05, Remote-5, 6-6-2, 16, 168, 15, 661248, 0.741999864578, 627840, 6.52900075912, 828320, 9.13699936867, 56015, 0.538000106812, 0, 0, 
00:31 02-05, Remote-5, 7-7-2, 16, 168, 15, 1226176, 1.29700016975, 894720, 7.74700164795, 1158080, 10.6289982796, 82895, 0.615000009537, 0, 0, 
00:35 02-05, Remote-5, 8-8-2, 16, 168, 15, 2093056, 2.40600013733, 1209600, 9.19999885559, 1543680, 12.4020011425, 115215, 0.707000017166, 0, 0, 
00:39 02-05, Remote-5, 9-9-2, 16, 168, 15, 3354048, 3.96399998665, 1572480, 11.5579993725, 1985120, 15.3530006409, 152975, 0.871999979019, 0, 0, 39.8169999123, 1, 
00:41 02-05, Remote-5, 10-10-2, 16, 168, 15, 5113600, 5.4960000515, 1983360, 13.5679988861, 2482400, 17.9350011349, 196175, 0.990999937057, 0, 0, 68.6589999199, 1, 
00:43 02-05, Remote-5, 11-11-2, 16, 168, 15, 7488448, 8.28200006485, 2442240, 15.9139995575, 3035520, 20.6960003376, 244815, 1.14600014687, 0, 0, 
17:20 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.00100016593933, 384, 0.0160000324249, 480, 0.0199999809265, 321, 0.00600004196167, 1, 0, 0.00100016593933, 1, 
17:22 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.000999927520752, 384, 0.0149998664856, 480, 0.018000125885, 321, 0.00699996948242, 1, 0, 0.000999927520752, 1, 
17:25 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.0019998550415, 384, 0.0160000324249, 480, 0.0199999809265, 321, 0.007000207901, 1, 0, 0.00100016593933, 1, 
17:26 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.0019998550415, 384, 0.0150001049042, 480, 0.0190000534058, 321, 0.00699996948242, 1, 0, 0.00100016593933, 1, 
17:32 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.0019998550415, 384, 0.0150001049042, 480, 0.0190000534058, 321, 0.00600004196167, 1, 0, 0.00100016593933, 1, 
17:34 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.000999927520752, 384, 0.0160000324249, 480, 0.018000125885, 321, 0.00600004196167, 1, 0, 0.00100016593933, 1, 
17:34 02-05, Double LED, 3-3-2, 5, 40, 4, 12780, 0.00800013542175, 13248, 0.221999883652, 8880, 0.19000005722, 4324, 0.0440001487732, 0, 0, 0.185000181198, 1, 
17:36 02-05, Double LED, 3-3-2, 5, 40, 4, 12780, 0.00799989700317, 13248, 0.214999914169, 8880, 0.198000192642, 4324, 0.0439999103546, 0, 0, 0.190999984741, 1, 
17:37 02-05, Double LED, 3-3-2, 5, 40, 4, 12780, 0.0090000629425, 13248, 0.217000246048, 8880, 0.195999860764, 4324, 0.0439999103546, 0, 0, 0.1890001297, 1, 
